AX,AY,AZ,Activity
0.21,-0.6,-0.72,Falling Side
-0.5,-0.73,0.12,Falling Side
0.24,-0.87,-0.39,Falling Side
-0.23,-0.02,-0.82,Falling Side
0.08,0.03,-0.69,Falling Side
0.07,0.12,-1.12,Falling Side
-0.98,-0.12,-1.6,Falling Side
-2.27,0.49,-1.98,Falling Side
-0.04,-0.56,-1.09,Falling Side
-0.99,1.0,-0.07,Falling Side
-0.32,1.13,-0.77,Falling Side
-0.32,0.76,0.4,Falling Side
-0.8,0.8,-0.84,Falling Side
-0.05,0.67,0.86,Falling Side
-0.45,0.52,-0.09,Falling Side
-1.1,1.09,0.92,Falling Side
-0.24,0.79,-0.62,Falling Side
-0.6,0.43,-0.15,Falling Side
-1.0,0.04,-0.95,Falling Side
-1.24,0.21,-0.19,Falling Side
-0.59,-0.34,-0.07,Falling Side
-1.25,-0.27,-0.47,Falling Side
-0.74,-0.36,-0.05,Falling Side
-1.34,-0.31,0.19,Falling Side
0.16,-0.91,0.26,Dropping
0.31,-0.95,0.47,Dropping
0.87,-0.85,0.74,Dropping
0.45,-0.95,0.89,Dropping
-0.06,-0.73,0.86,Dropping
-0.05,-0.61,0.81,Dropping
0.03,-0.23,0.81,Dropping
0.22,-0.45,0.94,Dropping
0.28,-0.45,0.82,Dropping
0.06,-0.05,1.01,Dropping
-0.22,0.39,0.54,Dropping
-0.28,0.56,0.53,Dropping
-0.01,0.48,0.96,Dropping
0.06,0.17,0.33,Dropping
0.02,0.01,0.01,Dropping
0.02,0.01,0.01,Dropping
0.02,0.01,0.01,Dropping
0.02,0.01,0.02,Dropping
0.02,0.01,0.03,Dropping
0.02,,0.04,Dropping
-1.41,-0.96,-0.53,Dropping
-0.12,-0.06,-0.45,Dropping
-0.01,0.21,-0.39,Dropping
-0.67,-0.45,0.58,Dropping
0.02,0.07,-0.23,Dropping
0.32,-0.02,1.06,Dropping
-0.06,-0.01,1.23,Dropping
0.03,,1.0,Dropping
0.02,,1.0,Dropping
0.02,,1.0,Dropping
0.36,-1.01,-0.01,Dropping
